id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
289,DRRN,NIM,DIORI HAMANI,NIAMEY,NIGER,13.481,2.184
290,DRRT,THZ,TAHOUA,TAHOUA,NIGER,14.876,5.265
291,DRZA,AJY,MANU DAYAK,AGADEZ,NIGER,16.965,7.997
292,DRZD,N/A,DIRKOU,DIRKOU,NIGER,18.969,12.869
293,DRZF,N/A,DIFFA,DIFFA,NIGER,13.373,12.627
294,DRZR,ZND,ZINDER,ZINDER,NIGER,13.779,8.984
295,DRZT,N/A,TANOUT,TANOUT,NIGER,14.999,8.767
296,DTMB,MIR,HABIB BOURGUIBA INTERNATIONAL,MONASTIR,TUNISIA,35.758,10.755
297,DTTA,TUN,CARTHAGE,TUNIS,TUNISIA,36.851,10.227
298,DTTB,N/A,SIDI AHMED AIR BASE,BIZERTE,TUNISIA,37.245,9.791
299,DTTD,N/A,REMADA,REMADA,TUNISIA,32.306,10.382
300,DTTF,GAF,GAFSA,GAFSA,TUNISIA,34.422,8.822
301,DTTG,GAE,GABES,GABES,TUNISIA,33.877,10.103
302,DTTI,N/A,BORDJ EL AMRI,BORDJ EL AMRI,TUNISIA,36.721,9.943
303,DTTJ,DJE,ZARZIS,DJERBA,TUNISIA,33.875,10.775
304,DTTR,EBM,EL BORMA,EL BORMA,TUNISIA,31.704,9.254
305,DTTX,SFA,THYNA,SFAX,TUNISIA,34.718,10.691
306,DTTZ,TOE,NEFTA,TOZEUR,TUNISIA,33.94,8.111
307,DXNG,LRL,NIAMTOUGOU,NIATOUGOU,TOGO,9.767,1.091
